ComicID,CreatorTypeID,CreatorID
1,1,1
1,2,2
1,3,690
1,4,688
1,5,177
1,6,597
1,6,689
1,7,779
2,1,1
2,2,2
2,3,691
2,4,688
2,5,177
2,6,597
2,6,689
2,7,779
2,7,688
3,1,1
3,2,2
3,3,691
3,3,319
3,3,692
3,4,688
3,5,177
3,6,597
3,6,689
3,7,779
3,7,688
8,1,10
8,2,15
8,2,14
8,2,13
8,2,12
8,3,12
8,4,19
8,5,18
8,5,17
8,5,16
8,6,21
8,6,20
8,7,11
9,1,10
9,2,22
9,3,23
9,4,24
9,5,1718
9,5,25
9,6,21
9,6,14257
9,6,20
9,7,11
10,1,10
10,2,11
10,3,23
10,4,19
10,5,1718
10,5,25
10,6,21
10,6,20
10,7,11
11,1,10
11,2,11
11,3,23
11,4,19
11,5,1718
11,5,25
11,6,21
11,6,20
11,7,11
12,1,10
12,2,27
12,2,11
12,3,27
12,3,23
12,4,29
12,4,28
12,5,1718
12,5,25
12,6,21
12,6,20
12,7,11
13,1,1
13,2,26
13,3,26
13,4,394
13,5,31
13,6,33
13,6,32
13,7,26
14,1,10
14,2,11
14,3,23
14,4,34
14,5,1718
14,5,25
14,6,21
14,6,20
14,7,11
15,1,1
15,2,26
15,3,26
15,4,394
15,5,31
15,6,33
15,6,32
15,7,26
16,1,1
16,2,35
16,3,35
16,4,35
16,5,36
16,7,35
17,1,1
17,2,37
17,3,37
17,4,38
17,5,39
17,6,41
17,6,40
17,7,37
17,7,38
18,1,42
18,2,43
18,3,45
18,4,46
18,5,36
18,6,49
18,7,46
18,7,43
18,7,45
19,1,42
19,2,43
19,3,45
19,4,46
19,5,36
19,6,49
19,7,46
19,7,43
20,1,54
20,2,55
20,3,56
20,4,194
20,5,210
20,6,59
20,6,61
20,6,62
20,7,56
20,7,55
20,7,391
21,1,54
21,2,55
21,3,56
21,4,194
21,5,210
21,6,59
21,6,61
21,6,62
21,7,56
21,7,55
21,7,391
22,1,63
22,1,6
22,1,67
22,2,68
22,3,69
22,4,528
22,5,31
22,6,33
22,6,32
22,7,54
23,1,63
23,1,6
23,1,67
23,2,68
23,3,69
23,3,77
23,4,528
23,5,31
23,6,33
23,6,32
23,7,54
24,1,80
24,2,81
24,3,82
24,4,83
24,5,84
24,6,88
24,6,86
24,6,87
24,6,85
24,7,81
25,1,80
25,2,81
25,3,82
25,3,494
25,4,83
25,5,84
25,6,88
25,6,86
25,6,646
25,6,87
25,7,81
26,1,80
26,2,81
26,3,82
26,4,83
26,5,84
26,6,88
26,6,86
26,6,646
26,6,87
26,7,81
27,1,80
27,2,81
27,3,82
27,3,982
27,4,83
27,5,84
27,6,88
27,6,86
27,6,646
27,6,87
27,7,81
28,1,80
28,2,81
28,3,82
28,4,83
28,5,84
28,6,88
28,6,86
28,6,646
28,6,87
28,7,81
29,1,80
29,2,81
29,3,82
29,3,2696
29,3,2437
29,4,83
29,5,84
29,6,88
29,6,86
29,6,87
29,6,1651
29,7,81
30,1,102
30,2,4
30,2,134
30,3,379
30,3,134
30,4,380
30,5,39
30,6,1001
30,6,59
30,6,61
30,7,379
30,7,4
30,7,391
31,1,102
31,2,4
31,3,379
31,4,380
31,5,39
31,6,1001
31,6,59
31,6,61
31,7,379
31,7,4
31,7,391
32,1,102
32,2,4
32,3,379
32,4,380
32,5,39
32,6,1001
32,6,224
32,6,61
32,7,379
32,7,4
32,7,391
33,1,102
33,2,134
33,3,134
33,4,380
33,5,39
33,6,1001
33,6,224
33,6,61
33,7,391
33,7,134
34,1,5
34,2,104
34,2,52
34,3,45
34,4,46
34,4,105
34,5,36
34,6,106
34,6,92
34,6,49
34,6,50
34,6,52
34,7,107
35,1,5
35,2,104
35,3,45
35,4,105
35,5,36
35,6,106
35,6,92
35,6,49
35,6,50
35,6,52
35,7,107
36,1,128
36,2,703
36,3,703
36,4,145
36,5,144
36,6,146
36,6,61
36,7,703
37,1,120
37,2,121
37,3,121
37,4,148
37,5,147
37,6,150
37,7,121
38,1,120
38,2,121
38,3,121
38,4,148
38,5,147
38,6,149
38,6,150
38,7,121
39,1,120
39,2,121
39,3,121
39,4,148
39,5,147
39,6,149
39,6,150
39,7,121
40,1,120
40,2,121
40,3,121
40,4,148
40,5,147
40,6,149
40,7,99
40,7,121
41,1,157
41,2,43
41,4,46
41,5,342
41,5,1028
41,5,1540
41,6,51
41,6,52
41,6,1849
41,7,46
41,7,52
42,1,157
42,2,43
42,4,46
42,5,342
42,5,76
42,5,596
42,5,1028
42,6,51
42,6,52
42,6,1849
42,7,46
42,7,52
43,1,157
43,2,43
43,4,46
43,5,342
43,5,76
43,5,596
43,5,1028
43,6,51
43,6,52
43,6,1849
43,7,46
43,7,52
44,1,157
44,2,43
44,4,46
44,5,342
44,5,1028
44,5,1540
44,6,51
44,6,52
44,6,1849
44,7,46
44,7,52
45,1,157
45,2,43
45,4,46
45,5,342
45,5,76
45,5,1028
45,5,1540
45,6,51
45,6,52
45,6,1849
45,7,46
45,7,52
46,1,157
46,2,43
46,4,46
46,5,342
46,5,76
46,5,1028
46,5,1540
46,6,51
46,6,52
46,6,1849
46,7,46
46,7,52
47,1,98
47,2,100
47,3,160
47,5,161
47,6,98
47,7,2300
47,7,100
48,1,71
48,2,72
48,3,72
48,4,175
48,5,177
48,6,176
48,6,1561
48,7,72
49,1,10
49,2,174
49,3,174
49,4,463
49,4,174
49,5,25
49,6,278
49,6,14257
49,6,20
49,6,61
49,7,11
50,1,71
50,2,72
50,3,72
50,4,175
50,5,177
50,6,176
50,7,72
51,1,71
51,2,72
51,3,72
51,4,175
51,5,177
51,6,176
51,7,72
52,1,71
52,2,72
52,3,72
52,4,175
52,5,177
52,6,176
52,7,72
53,1,71
53,2,72
53,3,72
53,4,175
53,5,177
53,6,176
53,7,72
54,1,71
54,2,72
54,3,72
54,4,175
54,5,177
54,6,176
54,7,72
55,1,71
55,2,178
55,4,175
55,5,177
55,6,176
55,7,72
56,1,71
56,2,178
56,3,178
56,4,175
56,5,177
56,6,176
56,6,756
56,7,72
57,1,71
57,2,72
57,4,175
57,5,177
57,6,176
57,7,72
58,1,71
58,2,72
58,4,175
58,5,177
58,6,176
58,7,72
59,1,71
59,2,72
59,3,72
59,4,175
59,5,177
59,6,176
59,7,72
61,1,71
61,2,179
61,3,179
61,4,175
61,5,177
61,6,176
61,7,72
62,1,71
62,2,179
62,3,179
62,4,175
62,5,177
62,6,176
62,7,72
63,1,71
63,2,180
63,3,180
63,4,175
63,5,177
63,6,176
63,6,756
63,7,72
64,1,71
64,2,72
64,3,72
64,4,175
64,5,177
64,6,176
64,7,72
65,1,71
65,2,72
65,3,72
65,4,175
65,5,177
65,6,176
65,6,756
65,7,72
66,1,71
66,2,72
66,3,72
66,4,175
66,5,177
66,6,176
66,6,756
66,7,72
67,1,71
67,2,72
67,4,175
67,5,177
67,6,176
67,7,72
68,1,71
68,2,181
68,4,175
68,5,177
68,6,176
68,7,72
69,1,71
69,2,181
69,4,175
69,5,177
69,6,176
69,7,72
70,1,196
70,1,103
70,2,520
70,3,170
70,4,543
70,5,360
70,6,278
70,6,1001
70,6,224
70,6,62
70,7,175
70,7,520
